Nama_Makanan,Produsen,Porsi,Energi (kkal),Protein (g),Karbohidrat (g),Lemak (g),Gula (g),Natrium (mg),Serat (g),Persentase_AKG_Energi,Persentase_AKG_Protein,Persentase_AKG_Karbohidrat,Persentase_AKG_Lemak,Persentase_AKG_Natrium,Lemak_Jenuh,Natrium,Protein,Karbohidrat_Total,Energi,Lemak_Total,Serat_Pangan,% AKG Energi,% AKG Protein,% AKG Lemak,% AKG Karbohidrat,% AKG Gula
Sushi red bull roll,Tidak Diketahui,1.0,484.0,28.0,72.0,7.5,15.0,0.0,1.0,22.51,46.67,22.15,11.19,0.0,0.0,0.0,47.0,23.0,23.0,0.0,0.0,22.511627906976745,46.666666666666664,11.194029850746269,22.153846153846153,30.0
OREO SOFT CAKE,PT. Kraft foods Indonesia,1.0,80.0,1.0,8.0,5.0,0.0,50.0,0.0,3.72,1.67,2.46,7.46,3.33,0.0,4.0,0.0,0.0,4.0,8.0,0.0,3.7209302325581395,1.6666666666666667,7.462686567164178,2.4615384615384617,0.0
Koko krunch,PT. Nestle Indonesia,1.0,110.0,2.0,23.0,1.0,9.0,0.0,1.0,5.12,3.33,7.08,1.49,0.0,0.0,0.0,4.0,8.0,6.0,0.0,0.0,5.116279069767442,3.3333333333333335,1.4925373134328357,7.076923076923077,18.0
Krupuk udang Ny. Siok (mentah),Tidak Diketahui,2.0,70.0,2.0,16.0,0.0,2.0,260.0,0.0,3.26,3.33,4.92,0.0,17.33,0.0,18.0,4.0,5.0,0.0,0.0,0.0,3.255813953488372,3.3333333333333335,0.0,4.923076923076923,4.0
Cookies Oat krunch coklat gelap,PT. Munchy's Indonesia,2.0,120.0,2.0,18.0,4.5,6.0,0.0,2.0,5.58,3.33,5.54,6.72,0.0,0.0,0.0,0.0,0.0,6.0,7.0,7.0,5.5813953488372094,3.3333333333333335,6.7164179104477615,5.538461538461538,12.0
Kacang tunis,Tidak Diketahui,3.2,351.0,12.2,72.9,1.2,0.0,1.0,29.5,16.33,20.33,22.43,1.79,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.325581395348838,20.333333333333332,1.791044776119403,22.430769230769233,0.0
Carica papaya, segar,1.8,0.9,24.0,1.9,3.7,0.2,0.0,0.0,1.0,1.12,3.17,1.14,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04186046511627907,40.0,5.522388059701493,0.5846153846153845,0.4
Rica-rica taipa,Tidak Diketahui,1.4,49.0,1.6,10.0,0.3,0.0,426.0,0.0,2.28,2.67,3.08,0.45,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27906976744186,2.666666666666667,0.44776119402985076,3.076923076923077,0.0
Babi hutan masak rica,Tidak Diketahui,2.7,491.0,24.6,0.2,16.3,0.0,1415.0,0.0,22.84,41.0,0.06,24.33,94.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.837209302325583,41.0,24.328358208955226,0.06153846153846154,0.0
Tikus rica, masakan,1.8,4.0,65.25,18.8,3.8,15.0,0.0,1724.0,0.0,11.95,31.33,1.17,27.61,114.93,0.0,0.0,0.0,0.0,0.0,0.0,0.18604651162790697,108.74999999999999,5.671641791044776,5.7846153846153845,30.0
